Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,Filtered MR,Filtered MRR,Filtered Hits@1,Filtered Hits@3,Filtered Hits@10
130,/fictional_universe/character_occupation/characters_with_this_occupation,4,16,1-1,1.125,0.9375,0.875,1.0,1.0
131,/architecture/museum/type_of_museum,1,5,M-1,1.0,1.0,1.0,1.0,1.0
132,/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,84,350,M-N,12.351190476190476,0.5503785269601005,0.48214285714285715,0.5535714285714286,0.6904761904761905
133,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/medal,23,248,M-N,1.8478260869565217,0.9614734649658203,0.9565217391304348,0.9565217391304348,0.9782608695652174
134,/film/film/other_crew./film/film_crew_gig/crewmember,49,348,M-1,85.84693877551021,0.9236784175950654,0.8979591836734694,0.9489795918367347,0.9693877551020408
135,/olympics/olympic_games/athletes./olympics/olympic_athlete_affiliation/sport,38,359,M-N,1.1973684210526316,0.9496867531224301,0.9210526315789473,0.9736842105263158,1.0
136,/music/performance_role/track_performances./music/track_contribution/role,394,346,M-N,47.379441624365484,0.15905010397664182,0.10913705583756345,0.1446700507614213,0.2296954314720812
137,/education/school_category/schools_of_this_kind,79,345,1-N,38.17088607594937,0.687050107159192,0.6455696202531646,0.7088607594936709,0.7531645569620253
138,/sports/sports_team/roster./sports/sports_team_roster/position,354,366,M-1,200.8418079096045,0.310870736332263,0.1864406779661017,0.3870056497175141,0.5508474576271186
140,/music/record_label/artist,266,353,1-N,595.4586466165414,0.24344910356335173,0.19172932330827067,0.2631578947368421,0.33458646616541354
141,/location/statistical_region/rent50_4./measurement_unit/dated_money_value/currency,45,353,M-1,3.8333333333333335,0.9081045362684462,0.9,0.9111111111111111,0.9222222222222223
142,/base/popstra/celebrity/dated./base/popstra/dated/participant,146,354,1-1,1034.7397260273972,0.43252657537590966,0.4006849315068493,0.4280821917808219,0.5136986301369864
143,/base/locations/continents/countries_within,11,120,1-N,1.3636363636363635,0.9272727099331942,0.9090909090909091,0.9090909090909091,1.0
144,/business/employer/employees./business/employment_tenure/title,91,359,M-N,32.73626373626374,0.6809156648405306,0.6208791208791209,0.7142857142857143,0.8131868131868132
145,/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,35,270,M-N,3.0285714285714285,0.9028909955705915,0.8857142857142857,0.9,0.9571428571428572
146,/music/musical_group/member./music/group_membership/role,150,347,M-N,36.71,0.39134694417317706,0.31333333333333335,0.4066666666666667,0.5733333333333334
147,/sports/sports_team/sport,43,349,M-1,6.953488372093023,0.8839346419933231,0.872093023255814,0.872093023255814,0.9418604651162791
148,/film/producer/films_executive_produced,79,351,1-N,555.4240506329114,0.6114305423784859,0.5632911392405063,0.6392405063291139,0.689873417721519
