Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,MR,MRR,Hits@1,Hits@3,Hits@10
399,/music/artist/contribution./music/recording_contribution/performance_role,23,216,M-N,38.47826086956522,0.4873874913091245,0.34782608695652173,0.5434782608695652,0.8043478260869565
400,/sports/sports_position/players./sports/sports_team_roster/position,15,113,M-N,5.133333333333334,0.3091149648030599,0.1,0.3333333333333333,0.9666666666666667
401,/film/film_character/portrayed_in_films./film/performance/actor,9,63,1-N,2.5,0.7163579728868272,0.6111111111111112,0.7222222222222222,1.0
402,/business/job_title/people_with_this_title./business/employment_tenure/person,8,64,1-N,1440.0625,0.5584219098091125,0.5,0.5625,0.625
403,/medicine/disease/parent_disease,7,57,M-1,34.214285714285715,0.5261092185974121,0.42857142857142855,0.5,0.7857142857142857
404,/government/politician/government_positions_held./government/government_position_held/basic_title,16,105,M-1,4.375,0.5533279180526733,0.375,0.6875,0.9375
405,/people/family/country,7,67,1-N,2.357142857142857,0.6530612536839077,0.5,0.7857142857142857,1.0
406,/sports/sports_team/roster./baseball/baseball_historical_roster_position/player,3,23,M-1,3.1666666666666665,0.6097222169240316,0.5,0.6666666666666666,1.0
407,/tv/special_tv_performance_type/episode_performances./tv/tv_guest_role/actor,5,39,1-N,2.5,0.7183333396911621,0.6,0.8,1.0
408,/education/educational_institution/parent_institution,11,91,M-1,3.409090909090909,0.7405455329201438,0.6818181818181818,0.7272727272727273,0.9090909090909091
409,/basketball/basketball_position/player_roster_position./sports/sports_team_roster/team,16,169,M-N,9.125,0.32118406891822815,0.125,0.4375,0.65625
410,/music/genre/subgenre,92,348,M-N,420.42934782608694,0.384905483411706,0.22282608695652173,0.4782608695652174,0.6902173913043478
411,/government/governmental_jurisdiction/governing_officials./government/government_position_held/basic_title,88,345,M-1,129.73295454545453,0.39272022247314453,0.26704545454545453,0.48863636363636365,0.5625
412,/sports/sports_position/players./american_football/football_historical_roster_position/position_s,13,110,M-N,5.346153846153846,0.28203742320720965,0.07692307692307693,0.2692307692307692,0.9615384615384616
413,/book/school_or_movement/associated_authors,4,30,1-N,3.0,0.7178571224212646,0.625,0.75,1.0
414,/people/profession/specialization_of,15,110,M-1,2.433333333333333,0.7024747212727864,0.6,0.7,0.9666666666666667
415,/award/award_category/category_of,17,139,M-1,13.205882352941176,0.6524113486794865,0.6176470588235294,0.6470588235294118,0.7058823529411765
416,/base/bioventurist/bv_medical_condition/company_involved,1,11,M-1,2.0,0.5,0.0,1.0,1.0
417,/base/popstra/company/product_endorser./base/popstra/paid_support/endorser,1,26,1-N,1.0,1.0,1.0,1.0,1.0
418,/film/film/cinematography,43,338,M-1,2.5,0.7184112460114235,0.6162790697674418,0.7441860465116279,0.9883720930232558
419,/olympics/olympic_participating_country/olympics_participated_in,49,350,M-N,18.357142857142858,0.3592022097840601,0.22448979591836735,0.3979591836734694,0.6326530612244898
420,/film/film/film_production_design_by,16,162,M-1,3.09375,0.6973721981048584,0.59375,0.75,0.9375
421,/organization/organization/companies_acquired./business/acquisition/company_acquired,3,24,1-1,1.8333333333333333,0.7083333333333334,0.5,0.8333333333333334,1.0
422,/tv/tv_program/country_of_origin,18,266,M-1,36.166666666666664,0.5362535582648383,0.5,0.5555555555555556,0.5833333333333334
423,/people/person/parents,6,77,1-1,1.1666666666666667,0.9166666666666666,0.8333333333333334,1.0,1.0
424,/government/political_appointer/appointees./government/government_position_held/office_holder,5,29,1-N,9.2,0.6549754619598389,0.5,0.8,0.8
425,/base/americancomedy/comedy_genre/comedians_in_this_genre,1,9,1-N,4.5,0.5625,0.5,0.5,1.0
426,/language/human_language/writing_system,3,42,M-1,4.5,0.4873737096786499,0.3333333333333333,0.5,0.8333333333333334
427,/film/film/edited_by,19,175,M-1,20.63157894736842,0.5675974394145765,0.42105263157894735,0.6578947368421053,0.8421052631578947
428,/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program,8,99,M-1,4.125,0.590745210647583,0.4375,0.6875,0.875
429,/award/award_discipline/awards_in_this_discipline,22,193,M-N,5.7727272727272725,0.5383623296564276,0.36363636363636365,0.6818181818181818,0.8636363636363636
431,/education/field_of_study/students_majoring./education/education/major_field_of_study,34,335,M-N,5.867647058823529,0.40677687701056986,0.22058823529411764,0.4411764705882353,0.8382352941176471
432,/protected_sites/listed_site/designation_as_natural_or_cultural_site./protected_sites/natural_or_cultural_site_listing/designation,5,68,M-1,9.7,0.6310958862304688,0.6,0.6,0.8
433,/tv/tv_actor/starring_roles./tv/regular_tv_appearance/special_performance_type,10,79,M-1,12.75,0.5399412155151367,0.45,0.6,0.6
434,/language/language_writing_system/languages,2,44,1-N,3.5,0.5277777910232544,0.25,0.75,1.0
435,/military/military_conflict/commanders./military/military_command/military_combatant,8,69,M-N,2.5625,0.5907738208770752,0.375,0.875,1.0
436,/music/performance_role/guest_performances./music/recording_contribution/contributor,24,212,M-N,5.875,0.5036434332529703,0.3333333333333333,0.5833333333333334,0.8333333333333334
437,/sports/sports_team/roster./ice_hockey/hockey_roster_position/position,15,111,M-N,10.366666666666667,0.40181214014689126,0.23333333333333334,0.5333333333333333,0.7
438,/education/educational_degree/people_with_this_degree./education/education/student,32,261,1-N,13.765625,0.5039777159690857,0.359375,0.59375,0.71875
439,/location/us_county/county_seat,14,194,1-1,1.0,1.0,1.0,1.0,1.0
